id,fullName,rank
doi_________::575e5eb26ef7c09a7f4827eab8e947d3,Ning Ding,1
doi_________::575e5eb26ef7c09a7f4827eab8e947d3,Yehui Tang,2
doi_________::575e5eb26ef7c09a7f4827eab8e947d3,Kai Han,3
doi_________::575e5eb26ef7c09a7f4827eab8e947d3,Chao Xu,4
doi_________::575e5eb26ef7c09a7f4827eab8e947d3,Yunhe Wang,5
doi_________::57da457a8910961374d00f8d86b64550,Marjorie B. Wesche,1
doi_________::57da457a8910961374d00f8d86b64550,Barry McLaughlin,2
doi_________::5886cde8283d7a4eb66f9afcdea34284,"Bitarafan, M. H.",1
doi_________::5886cde8283d7a4eb66f9afcdea34284,"Ramp, H.",2
doi_________::5886cde8283d7a4eb66f9afcdea34284,"Allen, T. W.",3
doi_________::5886cde8283d7a4eb66f9afcdea34284,"Potts, C.",4
doi_________::5886cde8283d7a4eb66f9afcdea34284,"Rojas, X.",5
doi_________::5886cde8283d7a4eb66f9afcdea34284,"MacDonald, A. J. R.",6
doi_________::5886cde8283d7a4eb66f9afcdea34284,"Davis, J. P.",7
doi_________::5886cde8283d7a4eb66f9afcdea34284,"DeCorby, R. G.",8
doi_________::58c3ba20c750294e09d37b0e3a2d2fe8,Philogden,1
doi_________::5941d55c147ba1e56e3377f9d58b4445,Zhiqiang Ma,1
doi_________::5941d55c147ba1e56e3377f9d58b4445,Mengyao Fu,2
doi_________::5941d55c147ba1e56e3377f9d58b4445,Chenyang Gao,3
doi_________::5941d55c147ba1e56e3377f9d58b4445,Shuyu Fan,4
doi_________::5941d55c147ba1e56e3377f9d58b4445,Haozhen Chi,5
doi_________::5941d55c147ba1e56e3377f9d58b4445,Wei Li,6
doi_________::5941d55c147ba1e56e3377f9d58b4445,Dibo Hou,7
doi_________::5941d55c147ba1e56e3377f9d58b4445,Yunqi Cao,8
doi_________::5a300ed0c02a4aa89182692b4b131562,"Mehri-Dehnavi, Hossein",1
doi_________::5a300ed0c02a4aa89182692b4b131562,"Rahimi, Robabeh",2
doi_________::5a300ed0c02a4aa89182692b4b131562,"Mohammadzadeh, Hosein",3
doi_________::5a300ed0c02a4aa89182692b4b131562,"Ebadi, Zahra",4
doi_________::5a300ed0c02a4aa89182692b4b131562,"Mirza, Behrouz",5
doi_________::5ca7ad3d8a36898418b9d1adb4fe2085,Jiaju Fu,1
doi_________::5ca7ad3d8a36898418b9d1adb4fe2085,Alexander R. Bazazi,2
doi_________::5ca7ad3d8a36898418b9d1adb4fe2085,Frederick L. Altice,3
doi_________::5ca7ad3d8a36898418b9d1adb4fe2085,Mahmood Nazar Mohamed,4
doi_________::5ca7ad3d8a36898418b9d1adb4fe2085,Adeeba Kamarulzaman,5
doi_________::5cab5d4936c4c5a6ed86040549d57134,Harold E. Benzinger,1
doi_________::5d09ec8f71b694b567c78fd84be17d60,G.J. Weidemann,1
doi_________::5d41b0fa6e0c4896d9ea583d72bb2d7f,John A. Walz,1
doi_________::5d41b0fa6e0c4896d9ea583d72bb2d7f,Gustav Gruener,2
doi_________::5dde083e7005c6e35502319b5debe3bf,"Hanemann, W. Michael",1
doi_________::5dde083e7005c6e35502319b5debe3bf,"Hanemann, W. Michael",2
doi_________::5e3366569f6720d415b2c6ab99db69c9,O. P. Ganda,1
doi_________::5e3366569f6720d415b2c6ab99db69c9,C. B. Kahn,2
doi_________::5e3366569f6720d415b2c6ab99db69c9,J. S. Soeldner,3
doi_________::5e3366569f6720d415b2c6ab99db69c9,R. E. Gleason,4
doi_________::5ec484d0e4233962af818d5d9f6ce2ba,Atif Kazmi,1
doi_________::5ec484d0e4233962af818d5d9f6ce2ba,Shahbaz Aman,2
doi_________::5ec484d0e4233962af818d5d9f6ce2ba,Muhammad Nadeem,3
doi_________::5fab1574312a8ecba167e4a046db6280,Istabraq Tariq Al-Azzawi,1
doi_________::5fb68a7333cf145a5ff39c25bf2d031b,Somkiat Thermsuk,1
doi_________::5fb68a7333cf145a5ff39c25bf2d031b,Suwit Thammasang,2
doi_________::5fb68a7333cf145a5ff39c25bf2d031b,Danai Sonsuphap,3
doi_________::5fb68a7333cf145a5ff39c25bf2d031b,Thanapol Sombat,4
doi_________::5fd7bd63bc918558ffda1803bce12550,Husni Adabi,1
doi_________::603f3b4f7211d63b266f14b3e2c9147b,Akira Hasegawa,1
doi_________::603f3b4f7211d63b266f14b3e2c9147b,Wei Zhang,2
doi_________::603f3b4f7211d63b266f14b3e2c9147b,Kazuyoshi Itoh,3
doi_________::603f3b4f7211d63b266f14b3e2c9147b,Yoshiki Ichioka,4
doi_________::60f0fd7866e4007019af275d59ca072e,Josée Dubois,1
doi_________::60f0fd7866e4007019af275d59ca072e,Françoise Rypens,2
doi_________::623a5b0fb5fabfaf256d2e16d1c5076e,"Wakeham, G",1
doi_________::63596e61d6390df39bc49e7a0386318a,Fairus Prihatin Idris,1
doi_________::63596e61d6390df39bc49e7a0386318a,Nirmalasari Kasman,2
doi_________::63596e61d6390df39bc49e7a0386318a,Andi Asrina,3
doi_________::65131baedcf7234a0b13e76c074f80f1,Aeri Sujatmiko,1
doi_________::65131baedcf7234a0b13e76c074f80f1,Muhammad Ilyas Sikki,2
doi_________::65131baedcf7234a0b13e76c074f80f1,Andi Hasad,3
doi_________::65131baedcf7234a0b13e76c074f80f1,Wahyu Hidayat,4
doi_________::65131baedcf7234a0b13e76c074f80f1,Muhammad Zidni Alfian Barik,5
doi_________::6516fa8223f25037be67184e6c4d3d99,I. Henderson,1
doi_________::651e8f184a7f003657fd648ca7892ea3,"D'Annunzio, Gabriele (1863-1938)",2
doi_________::658e9e081c5a68fc6b2df9018239fe6f,M. Behar,1
doi_________::658e9e081c5a68fc6b2df9018239fe6f,C. Cohen,2
doi_________::658e9e081c5a68fc6b2df9018239fe6f,J.H.R. dos Santos,3
doi_________::658e9e081c5a68fc6b2df9018239fe6f,P.L. Grande,4
doi_________::65a0f439b234fb352e0eb3d5449176d2,Jerry Workman,1
doi_________::664a81531e51269ce24cb06bda791e15,Civil Aeronautics Board,1
doi_________::66d54b079c5c35bf90d60d6a1668cdd6,Evangeline Jones,1
doi_________::67a3c33d6902d67a1c66eeb020983abc,J.F. Appeldoorn,1
doi_________::6aaa773d45a36f67d46af98affebd7f4,Desiderius Erasmus Roterodamus,1
doi_________::6aaaad58f900124fc807d3657a3cd487,Maximilian Fidel,1
doi_________::6aaaad58f900124fc807d3657a3cd487,Jainik Shah,2
doi_________::6aaaad58f900124fc807d3657a3cd487,Dhiraj S. Bal,3
doi_________::6aaaad58f900124fc807d3657a3cd487,Premal Patel,4
doi_________::6b6139db9cc06cac6f214cebd30ea1a1,Kurt M. Ribisl,1
doi_________::6b6139db9cc06cac6f214cebd30ea1a1,Jennifer Leeman,2
doi_________::6b6139db9cc06cac6f214cebd30ea1a1,Allison M. Glasser,3
doi_________::6b93b09568df7f3fa9d444c207ff94c6,Haitao Yuan,1
doi_________::6b93b09568df7f3fa9d444c207ff94c6,Shen Wang,2
doi_________::6b93b09568df7f3fa9d444c207ff94c6,Jing Bi,3
doi_________::6b93b09568df7f3fa9d444c207ff94c6,Jia Zhang,4
doi_________::6b93b09568df7f3fa9d444c207ff94c6,MengChu Zhou,5
doi_________::6b9795be1a2d577afc2d6980d21ae44b,Pratyush Nidhi Sharma,1
doi_________::6b9795be1a2d577afc2d6980d21ae44b,Marko Sarstedt,2
doi_________::6b9795be1a2d577afc2d6980d21ae44b,Galit Shmueli,3
doi_________::6b9795be1a2d577afc2d6980d21ae44b,Kevin H. Kim,4
doi_________::6b9795be1a2d577afc2d6980d21ae44b,Kai Oliver Thiele,5
doi_________::71a62f95a09d78dd991c266f8be9f27d,Dr. Robin Cocks,1
doi_________::72375d59c28f8b6d7b72676c95890fb8,Isabelle Poutrin,1
doi_________::72375d59c28f8b6d7b72676c95890fb8,Élisabeth Lusset,2
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,Guoci Cai,1
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,Guiying Zeng,2
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,Haiqi Yu,3
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,Jie Pan,4
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,Weichen You,5
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,Ming Chen,6
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,Yiliang Wu,7
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,Xujie Zheng,8
doi_________::74ebca2085b7faa4bc9c57670e7533cd,David Finnigan,1
doi_________::7660de6349ae439c5e2613cdc4cb82a4,Paul Higgins,1
doi_________::76e451190eaf7d237047e3dcc9a40652,"Stewart, Madeleine",1
doi_________::76e451190eaf7d237047e3dcc9a40652,"Federrath, Christoph",2
doi_________::76fa1419a47ecabc4007e5603614a1dc,M E Scheulen,1
doi_________::76fa1419a47ecabc4007e5603614a1dc,V Nüler,2
doi_________::76fa1419a47ecabc4007e5603614a1dc,M Lehmann,3
doi_________::7701460151ca07ced5612e49aaed18d9,Robert Wedgeworth,1
doi_________::774cb7e306df4e3045e8b952f9b5a591,M. P. Seah,1
doi_________::7ea9438b763a4a87f4a8a02c21bd9edd,"He, Falin",1
doi_________::7ea9438b763a4a87f4a8a02c21bd9edd,"Xie, Tiancheng",2
doi_________::7ea9438b763a4a87f4a8a02c21bd9edd,"Huang, Xinwen",3
doi_________::7ea9438b763a4a87f4a8a02c21bd9edd,"Zhang, Jinming",4
doi_________::7ea9438b763a4a87f4a8a02c21bd9edd,"Tang, Tian",5
doi_________::7ea9cd7535dded719e63578b6fd5318c,Münchner Volkshochschule,1
doi_________::80d9dde8f51ed54c115ec23affb272d9,Cheng-Kuang Wu,1
doi_________::80d9dde8f51ed54c115ec23affb272d9,Wei‐Chen Wu,2
1287497f2a65::297f9979464bd22abe523457f0b1e698,"Herrera Bartis, Germán",1
1287497f2a65::c120d7d60f9065a3036586297f4f2e67,"Kane, Amadou",1
1287497f2a65::d47f0458888e61219fc3509391f13206,"Porcel López, Sergio",1
1287497f2a65::d47f0458888e61219fc3509391f13206,"Antón-Alonso, Fernando",2
57a035e5b1ae::25e4df1690b1d89bf52c29aa5d5d3592,"Wagner, Jasenka",1
57a035e5b1ae::2abbb2e05e3945e87fcae7d3186a03be,"Ćosić, Stjepan",1
57a035e5b1ae::3b848902e594f9d8d75aea49f34f44f6,"Rebić, Veseljka",1
57a035e5b1ae::3b848902e594f9d8d75aea49f34f44f6,"Šetić, Mia",2
57a035e5b1ae::3b848902e594f9d8d75aea49f34f44f6,"Ivanec, Dragutin",3
57a035e5b1ae::3b848902e594f9d8d75aea49f34f44f6,"Domijan, Dražen",4
57a035e5b1ae::467ba21e56a8cab8b0e2ac36179d3c13,"Miholoć, Luka",1
