id,keyword
dedup_wf_002::09e1111bd38467e7a4737eefece389d3,walton institute for information and communications systems science
dedup_wf_002::09e1111bd38467e7a4737eefece389d3,telecommunications software and systems group
dedup_wf_002::3b1d7daa1676df1f52431597574f53d8,"rikon (research in inovation, knowledge & organisational networks)"
dedup_wf_002::63f990d0b112ccb05deb68cabf66a047,centre for information systems and techno-culture
dedup_wf_002::bb0398ec8d9d644a0492c738ceefb6e8,centre for enterprise development & regional economy
dedup_wf_002::bcd5702e43a3545d63f2f7e9aa2664f6,centre for newfoundland and labrador studies
dedup_wf_002::d828ff3466d1eaa1577bde4f94d8e1d1,south east applied materials research centre
dedup_wf_002::eaaf79d4ccc0711cff7b454dea3b8f68,walton institute for information and communications systems science
dedup_wf_002::eaaf79d4ccc0711cff7b454dea3b8f68,telecommunications software and systems group
doi_________::5944a73ae818bbbed0529ed9fbf2ddf8,0502 economics and business
doi_________::5944a73ae818bbbed0529ed9fbf2ddf8,05 social sciences
doi_________::84ef24bf08f3349438dfe9b99fd09093,0502 economics and business
doi_________::84ef24bf08f3349438dfe9b99fd09093,05 social sciences
doi_________::b71745d3f90caebd43fb5705de6e2570,"0202 electrical engineering, electronic engineering, information engineering"
doi_________::b71745d3f90caebd43fb5705de6e2570,02 engineering and technology
doi_dedup___::014296b480e4a21f894017d7e9860690,13. climate action
doi_dedup___::014296b480e4a21f894017d7e9860690,11. sustainability
doi_dedup___::014296b480e4a21f894017d7e9860690,"0202 electrical engineering, electronic engineering, information engineering"
doi_dedup___::014296b480e4a21f894017d7e9860690,02 engineering and technology
doi_dedup___::014296b480e4a21f894017d7e9860690,7. clean energy
doi_dedup___::04e4034c115dadb7ade9920041645f60,transportation engineering
doi_dedup___::04e4034c115dadb7ade9920041645f60,anti-interference performance
doi_dedup___::04e4034c115dadb7ade9920041645f60,interior permanent magnet synchronous motor
doi_dedup___::04e4034c115dadb7ade9920041645f60,ta1001-1280
doi_dedup___::04e4034c115dadb7ade9920041645f60,speed control
doi_dedup___::04e4034c115dadb7ade9920041645f60,electric vehicle
doi_dedup___::04e4034c115dadb7ade9920041645f60,electrical engineering. electronics. nuclear engineering
doi_dedup___::04e4034c115dadb7ade9920041645f60,extended state observer
doi_dedup___::04e4034c115dadb7ade9920041645f60,tk1-9971
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,electro-larynx.
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,male
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,laryngeal vibrations
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,acceleration
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,0206 medical engineering
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,augmentative communication
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,02 engineering and technology
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,biomedical devices and instrumentation
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,vibration
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,"electronics, medical"
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,accelerometer
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,03 medical and health sciences
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,0302 clinical medicine
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,humans
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,speech
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,neck
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,0403 veterinary science
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,pig production performance
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,actinobacillus pleuropneumoniae
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,mycoplasma hyopneumoniae
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,inuenza a virus
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,porcine respiratory disease complex
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,swine
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,04 agricultural and veterinary sciences
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,porcine reproductive and respiratory syndrome virus
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,respiratory disease
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,lung scoring
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,adult
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,social support
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,health promotion
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,middle aged
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,actigraphy
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,self efficacy
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,03 medical and health sciences
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,0302 clinical medicine
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,socioeconomic factors
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,humans
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,female
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,community health services
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,sedentary behavior
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,exercise
doi_dedup___::1348fda90df3a2f0a1a9789d3d72210a,4. education
doi_dedup___::14a2ab35769f2708576ca783d8e62717,keratinocytes
doi_dedup___::14a2ab35769f2708576ca783d8e62717,0301 basic medicine
doi_dedup___::14a2ab35769f2708576ca783d8e62717,epigenetic radiation mechanisms
doi_dedup___::14a2ab35769f2708576ca783d8e62717,cell death
doi_dedup___::14a2ab35769f2708576ca783d8e62717,l-lactate dehydrogenase
