id,language
dedup_wf_002::09e1111bd38467e7a4737eefece389d3,Undetermined
dedup_wf_002::3b1d7daa1676df1f52431597574f53d8,Undetermined
dedup_wf_002::63f990d0b112ccb05deb68cabf66a047,Undetermined
dedup_wf_002::bb0398ec8d9d644a0492c738ceefb6e8,Undetermined
dedup_wf_002::bcd5702e43a3545d63f2f7e9aa2664f6,English
dedup_wf_002::d828ff3466d1eaa1577bde4f94d8e1d1,English
dedup_wf_002::eaaf79d4ccc0711cff7b454dea3b8f68,English
doi_________::5944a73ae818bbbed0529ed9fbf2ddf8,Undetermined
doi_________::725809086ff453760e9570c31c0b85c7,Undetermined
doi_________::84ef24bf08f3349438dfe9b99fd09093,Undetermined
doi_________::b71745d3f90caebd43fb5705de6e2570,Undetermined
doi_________::daf2cae1abbb9ba633380f82b02bbd10,Undetermined
doi_________::db794cb3dd9e92a8b1dbf9b8088f5d1b,Undetermined
doi_________::f4d87635bf00d25e5c647fd2fc732fb0,Undetermined
doi_dedup___::014296b480e4a21f894017d7e9860690,Undetermined
doi_dedup___::04e4034c115dadb7ade9920041645f60,Undetermined
doi_dedup___::0daf7becd4c2d3919a04920ec3852baa,Undetermined
doi_dedup___::108491e3bd2bc515a4a9c77d332c7733,Undetermined
doi_dedup___::128c6b58fead0fb85173d5ce406da9c6,Undetermined
doi_dedup___::1348fda90df3a2f0a1a9789d3d72210a,Undetermined
doi_dedup___::14a2ab35769f2708576ca783d8e62717,Undetermined
doi_dedup___::191f47c35b646136b7d54e4b0f5d268a,Undetermined
doi_dedup___::1d1b89c272736fe83861f01298d95fcd,Undetermined
doi_dedup___::1f1559e35fe79fb1b8f52cc986be53c9,Undetermined
doi_dedup___::21d4e28afe67543f927b69f8266bb338,Undetermined
doi_dedup___::26a0b67126ef4c78eebc25f86f15a37a,Undetermined
doi_dedup___::289f325d680968c8ab02e314c7a8c413,Undetermined
doi_dedup___::2e942a4c19301b33194718a980cdb5d8,Undetermined
doi_dedup___::2ec91cdd6bc0901c701e8a48bf03047c,Undetermined
doi_dedup___::3016f9747eba303ef4505c6b18359c21,Undetermined
doi_dedup___::3107c3648a1b3f2364137a83308130e7,Undetermined
doi_dedup___::31edf08d4efae6361c8c6680b2a71ca1,Undetermined
doi_dedup___::3793cd9bccba53382c430248cb627051,Undetermined
doi_dedup___::398136679d099c043ef002bd62d0d162,Undetermined
doi_dedup___::39db607e2bdff2f27562c5021cd36c7c,Undetermined
doi_dedup___::3a4b56e3a56ccf56efb0cc06d172eb99,Undetermined
doi_dedup___::3bb4a727b4af7139693443a5bffadb2c,Undetermined
doi_dedup___::3d6c9829d6afa677f80bab9e49afd83f,Undetermined
doi_dedup___::3ec2ce8000c5dd3e3e19139abe2d97f1,Undetermined
doi_dedup___::42474229502abdcadb21a35aec55a9bc,Undetermined
doi_dedup___::439417b80baf11d88de681834920c197,Undetermined
doi_dedup___::43bf17cd8542fb2e009f2cbf044749e6,Undetermined
doi_dedup___::4813dfde4f2e2fe0fd1f6dacb86cab84,Undetermined
doi_dedup___::54699227b0a9064a270f95468eae2968,Undetermined
doi_dedup___::54bec553303b30bd56f9a621a512424e,Undetermined
doi_dedup___::58335f3badbcaef34487bdaf4bed5da9,Undetermined
doi_dedup___::585921c07baf360a7305abe283246c97,Undetermined
doi_dedup___::5a9b3ff170944be9cdbd9478be1e7369,Undetermined
doi_dedup___::5df541981dc085cbeedfbf3b8c64f86d,Undetermined
doi_dedup___::5ec29222c80b95b75bf61287dca7d87c,Undetermined
doi_dedup___::6050b39f4126a5038423e3883e0e6678,Undetermined
doi_dedup___::61400739b8bc83b047bfc6fd8977cc45,Undetermined
doi_dedup___::61501d626fd862e23bc9a359d99a6de4,Undetermined
doi_dedup___::6161985cabfcd342a5fed5a87b851524,Undetermined
doi_dedup___::6340acf332f4f5863fdc4e4814373040,Undetermined
doi_dedup___::649342e8ae557b1ee853bb5d7d10cabd,Undetermined
doi_dedup___::697489ef3c0315458cf117a2e78d17d9,Undetermined
doi_dedup___::69b6e2d2454897f2154a26130db78209,Undetermined
doi_dedup___::6b75fb082e58088d34ae8d59f80eecfc,Undetermined
doi_dedup___::6da871695ed4abd0675daa300f65259f,Undetermined
doi_dedup___::6e6fd7f554442c550134d8471d64d3d5,Undetermined
