id,publicationDate
doi_________::5425833b523ea99312dbe62360a960fd,1987-11-01
doi_________::575e5eb26ef7c09a7f4827eab8e947d3,2023-06-01
doi_________::57da457a8910961374d00f8d86b64550,1987-01-01
doi_________::5886cde8283d7a4eb66f9afcdea34284,2015-01-01
doi_________::58c3ba20c750294e09d37b0e3a2d2fe8,2022-02-14
doi_________::5941d55c147ba1e56e3377f9d58b4445,2024-07-01
doi_________::5a300ed0c02a4aa89182692b4b131562,2012-01-01
doi_________::5ca7ad3d8a36898418b9d1adb4fe2085,2013-02-01
doi_________::5cab5d4936c4c5a6ed86040549d57134,1973-04-01
doi_________::5d09ec8f71b694b567c78fd84be17d60,1994-07-01
doi_________::5d41b0fa6e0c4896d9ea583d72bb2d7f,1900-12-01
doi_________::5dde083e7005c6e35502319b5debe3bf,2002-01-01
doi_________::5e3366569f6720d415b2c6ab99db69c9,1975-04-01
doi_________::5e6c7407fb151356bfda3b4ed3cb2e1f,1968-01-01
doi_________::5ec484d0e4233962af818d5d9f6ce2ba,2015-01-01
doi_________::5fab1574312a8ecba167e4a046db6280,2018-01-01
doi_________::5fb68a7333cf145a5ff39c25bf2d031b,2022-01-01
doi_________::5fcdd6436ab7fbc2d37f4b7692509ccc,1994-01-01
doi_________::5fd7bd63bc918558ffda1803bce12550,2022-09-30
doi_________::603f3b4f7211d63b266f14b3e2c9147b,1991-11-11
doi_________::60f0fd7866e4007019af275d59ca072e,2009-10-01
doi_________::617fe858de32f7d658975b2178eea145,2010-05-20
doi_________::623a5b0fb5fabfaf256d2e16d1c5076e,2017-01-01
doi_________::63596e61d6390df39bc49e7a0386318a,2023-01-25
doi_________::6386942c976c1cd1467ee6c886cb61e8,1997-08-01
doi_________::63d667349eeb5b935ec9b638109b3700,2017-11-01
doi_________::65131baedcf7234a0b13e76c074f80f1,2020-11-09
doi_________::6516fa8223f25037be67184e6c4d3d99,2009-01-01
doi_________::651e8f184a7f003657fd648ca7892ea3,2019-01-01
doi_________::658e9e081c5a68fc6b2df9018239fe6f,2002-05-01
doi_________::65a0f439b234fb352e0eb3d5449176d2,1998-01-01
doi_________::6636f2885fe47956980945ec19d558ed,1950-01-01
doi_________::66389bc3a0abc8f0ba6cb7d627962bc2,2021-06-01
doi_________::664a81531e51269ce24cb06bda791e15,1956-01-01
doi_________::669fbec598ee7d3ababc17596f90fa97,1970-12-31
doi_________::66d54b079c5c35bf90d60d6a1668cdd6,2011-01-01
doi_________::67a3c33d6902d67a1c66eeb020983abc,2006-02-01
doi_________::6a8c8ed3103461b5a87a0b363e0b0cbf,1926-03-20
doi_________::6aaa773d45a36f67d46af98affebd7f4,1924-01-01
doi_________::6aaaad58f900124fc807d3657a3cd487,2024-05-01
doi_________::6b6139db9cc06cac6f214cebd30ea1a1,2014-06-01
doi_________::6b93b09568df7f3fa9d444c207ff94c6,2024-05-15
doi_________::6b9795be1a2d577afc2d6980d21ae44b,2019-01-01
doi_________::710b8a2c0fd05fd2e0ecb785662eee6c,2013-01-01
doi_________::7112084201dca60861c588c0da1d98d6,1991-09-01
doi_________::71a62f95a09d78dd991c266f8be9f27d,1976-09-01
doi_________::72375d59c28f8b6d7b72676c95890fb8,2022-02-02
doi_________::72b176f3ee5d7e86a0b0fbe3445f18f2,2023-10-20
doi_________::7414998886640d20be7a341bf9517053,1990-06-01
doi_________::74ebca2085b7faa4bc9c57670e7533cd,2019-01-22
doi_________::7660de6349ae439c5e2613cdc4cb82a4,2013-01-01
doi_________::76e451190eaf7d237047e3dcc9a40652,2021-01-01
doi_________::76fa1419a47ecabc4007e5603614a1dc,1994-09-01
